7/10/25 11:32,40 [MODERATE]
7/10/25 11:37,09-30-00
7/10/25 11:42,09-30-00
7/10/25 12:00,50 [MODERATE]
7/10/25 12:00,30 [MODERATE]
7/10/25 12:02,30 [MODERATE]
7/10/25 12:30,12-20-99
7/10/25 12:35,30 [MODERATE]
7/10/25 13:00,09-30-00
7/10/25 13:02,12-20-99
7/10/25 13:30,12-20-99
7/10/25 13:32,30 [MODERATE]
7/10/25 22:00,30 [MODERATE]
7/10/25 22:03,09-30-00
7/10/25 23:35,09-30-00
7/10/25 23:35,09-30-00
7/11/25 0:04,09-30-00
7/11/25 0:04,09-30-00
7/11/25 9:42,60 [MODERATE]
7/11/25 10:02,12-20-99
7/11/25 10:12,09-30-00
7/11/25 10:30,09-30-00
7/11/25 10:43,12-20-99
7/11/25 11:01,40 [MODERATE]
7/11/25 11:14,09-30-00
7/11/25 11:32,09-30-00
7/11/25 12:49,12-20-99
7/11/25 13:00,100 [CRITICAL]
7/12/25 0:33,60 [MODERATE]
7/12/25 0:40,12-20-99
7/12/25 13:00,100 [CRITICAL]
7/12/25 13:32,11-30-69
7/12/25 13:54,30 [MODERATE]
7/12/25 14:01,09-30-00
7/12/25 14:05,30 [MODERATE]
7/12/25 14:08,09-30-00
7/12/25 14:30,09-30-00
7/12/25 14:48,12-20-99

2025-07-12 15:01,30 [MODERATE]
